REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,695,,Ozone 8 (iZotope /  Inc.),Ozone_8.vst3
,696,,Ozone 8 Dynamic EQ (iZotope /  Inc.),Ozone_8_Dynamic_EQ.vst
,697,,Ozone 8 Dynamic EQ (iZotope /  Inc.),Ozone_8_Dynamic_EQ.vst3
,698,,Ozone 8 Dynamics (iZotope /  Inc.),Ozone_8_Dynamics.vst
,699,,Ozone 8 Dynamics (iZotope /  Inc.),Ozone_8_Dynamics.vst3
,700,,Ozone 8 Equalizer (iZotope /  Inc.),Ozone_8_Equalizer.vst
,701,,Ozone 8 Equalizer (iZotope /  Inc.),Ozone_8_Equalizer.vst3
,702,,Ozone 8 Exciter (iZotope /  Inc.),Ozone_8_Exciter.vst
,703,,Ozone 8 Exciter (iZotope /  Inc.),Ozone_8_Exciter.vst3
,704,,Ozone 8 Imager (iZotope /  Inc.),Ozone_8_Imager.vst
,705,,Ozone 8 Imager (iZotope /  Inc.),Ozone_8_Imager.vst3
,706,,Ozone 8 Maximizer (iZotope /  Inc.),Ozone_8_Maximizer.vst
,707,,Ozone 8 Maximizer (iZotope /  Inc.),Ozone_8_Maximizer.vst3
,708,,Ozone 8 Spectral Shaper (iZotope /  Inc.),Ozone_8_Spectral_Shaper.vst
,709,,Ozone 8 Spectral Shaper (iZotope /  Inc.),Ozone_8_Spectral_Shaper.vst3
,710,,Ozone 8 Vintage Compressor (iZotope /  Inc.),Ozone_8_Vintage_Compressor.vst
,711,,Ozone 8 Vintage Compressor (iZotope /  Inc.),Ozone_8_Vintage_Compressor.vst3
,712,,Ozone 8 Vintage EQ (iZotope /  Inc.),Ozone_8_Vintage_EQ.vst
,713,,Ozone 8 Vintage EQ (iZotope /  Inc.),Ozone_8_Vintage_EQ.vst3
,714,,Ozone 8 Vintage Limiter (iZotope /  Inc.),Ozone_8_Vintage_Limiter.vst
,715,,Ozone 8 Vintage Limiter (iZotope /  Inc.),Ozone_8_Vintage_Limiter.vst3
,716,,Ozone 8 Vintage Tape (iZotope /  Inc.),Ozone_8_Vintage_Tape.vst
,717,,Ozone 8 Vintage Tape (iZotope /  Inc.),Ozone_8_Vintage_Tape.vst3
,718,,Ozone 9 (iZotope /  Inc.),Ozone_9.vst
,719,,Ozone 9 (iZotope /  Inc.),Ozone_9.vst3
,720,,Ozone 9 Dynamic EQ (iZotope /  Inc.),Ozone_9_Dynamic_EQ.vst
,721,,Ozone 9 Dynamic EQ (iZotope /  Inc.),Ozone_9_Dynamic_EQ.vst3
,722,,Ozone 9 Dynamics (iZotope /  Inc.),Ozone_9_Dynamics.vst
,723,,Ozone 9 Dynamics (iZotope /  Inc.),Ozone_9_Dynamics.vst3
,724,,Ozone 9 Equalizer (iZotope /  Inc.),Ozone_9_Equalizer.vst
,725,,Ozone 9 Equalizer (iZotope /  Inc.),Ozone_9_Equalizer.vst3
,726,,Ozone 9 Exciter (iZotope /  Inc.),Ozone_9_Exciter.vst
,727,,Ozone 9 Exciter (iZotope /  Inc.),Ozone_9_Exciter.vst3
,728,,Ozone 9 Imager (iZotope /  Inc.),Ozone_9_Imager.vst
,729,,Ozone 9 Imager (iZotope /  Inc.),Ozone_9_Imager.vst3
,730,,Ozone 9 Low End Focus (iZotope /  Inc.),Ozone_9_Low_End_Focus.vst
,731,,Ozone 9 Low End Focus (iZotope /  Inc.),Ozone_9_Low_End_Focus.vst3
,732,,Ozone 9 Master Rebalance (iZotope /  Inc.),Ozone_9_Master_Rebalance.vst
,733,,Ozone 9 Master Rebalance (iZotope /  Inc.),Ozone_9_Master_Rebalance.vst3
,734,,Ozone 9 Match EQ (iZotope /  Inc.),Ozone_9_Match_EQ.vst
,735,,Ozone 9 Match EQ (iZotope /  Inc.),Ozone_9_Match_EQ.vst3
,736,,Ozone 9 Maximizer (iZotope /  Inc.),Ozone_9_Maximizer.vst
,737,,Ozone 9 Maximizer (iZotope /  Inc.),Ozone_9_Maximizer.vst3
,738,,Ozone 9 Spectral Shaper (iZotope /  Inc.),Ozone_9_Spectral_Shaper.vst
,739,,Ozone 9 Spectral Shaper (iZotope /  Inc.),Ozone_9_Spectral_Shaper.vst3
,740,,Ozone 9 Vintage Compressor (iZotope /  Inc.),Ozone_9_Vintage_Compressor.vst
,741,,Ozone 9 Vintage Compressor (iZotope /  Inc.),Ozone_9_Vintage_Compressor.vst3
,742,,Ozone 9 Vintage EQ (iZotope /  Inc.),Ozone_9_Vintage_EQ.vst
,743,,Ozone 9 Vintage EQ (iZotope /  Inc.),Ozone_9_Vintage_EQ.vst3
,744,,Ozone 9 Vintage Limiter (iZotope /  Inc.),Ozone_9_Vintage_Limiter.vst
,745,,Ozone 9 Vintage Limiter (iZotope /  Inc.),Ozone_9_Vintage_Limiter.vst3
,746,,Ozone 9 Vintage Tape (iZotope /  Inc.),Ozone_9_Vintage_Tape.vst
,747,,Ozone 9 Vintage Tape (iZotope /  Inc.),Ozone_9_Vintage_Tape.vst3
,748,,Ozone Imager (iZotope /  Inc.),Ozone_Imager.vst
,749,,Ozone Imager (iZotope /  Inc.),Ozone_Imager.vst3
,750,,PaulXStretch (Xenakios) (8ch),PaulXStretch.vst
,751,,PHA-979 (Voxengo) (4ch),PHA_979.vst
,752,,PHA-979 (Voxengo),PHA_979.vst3
,753,,Phasis (Native Instruments GmbH),Phasis.vst
,754,,Pi (Sound Radix),Pi.vst
,755,,Pi (Sound Radix),Pi.vst3
,756,Instr.,Play (East West) (2->18ch)!!!VSTi,Play.vst
,757,Instr.,Play (East West) (18 out)!!!VSTi,Play.vst3
,758,,ProbeDecoder (IEM) (64ch),ProbeDecoder.vst
,759,,Quad2B (x86) (Ambisonic Studio B2X) (4ch),Quad2B.vst
,760,,Quad2B2 (x86) (Ambisonic Studio B2X) (9ch),Quad2B2.vst
,761,,QUARK (dublab) (4ch),QUARK.vst3
,762,,Quartz (Artificial Audio),Quartz.vst
,763,,ReaCast (Cockos),reacast.vst.dylib
,764,,ReaComp (Cockos),reacomp.vst.dylib
,765,,ReaControlMIDI (Cockos),reacontrolMIDI.vst.dylib
,766,,ReaDelay (Cockos),readelay.vst.dylib
,767,,ReaEQ (Cockos),reaeq.vst.dylib
,768,,ReaFir (FFT EQ+Dynamics Processor) (Cockos),reafir.vst.dylib
,769,,ReaGate (Cockos),reagate.vst.dylib
,770,,ReaInsert (Cockos),reainsert.vst.dylib
,771,Instr.,Reaktor5 (Native Instruments GmbH) (2->8ch)!!!VSTi,Reaktor5.vst
,772,Instr.,Reaktor5 (Native Instruments GmbH) (2->16ch)!!!VSTi,Reaktor5_16out.vst
,773,,Reaktor5 (Native Instruments GmbH),Reaktor5_FX.vst
,774,,Reaktor5 (Native Instruments GmbH) (16ch),Reaktor5_FX_16x16.vst
,775,,Reaktor5 (Native Instruments GmbH) (2->8ch),Reaktor5_FX_2x8.vst
,776,,Reaktor5 (Native Instruments GmbH) (6ch),Reaktor5_Surround.vst
,777,Instr.,Reaktor 6 (Native Instruments GmbH) (2->16ch)!!!VSTi,Reaktor_6.vst
,778,,Reaktor 6 (Native Instruments GmbH) (16ch),Reaktor_6_FX.vst
,779,,ReaLimit (Cockos),realimit.vst.dylib
,780,,ReaNINJAM (Cockos),reaninjam.vst.dylib
,781,,ReaPitch (Cockos),reapitch.vst.dylib
,782,Instr.,ReaSamplOmatic5000 (Cockos)!!!VSTi,reasamplomatic.vst.dylib
,783,,ReaStream (Cockos) (8ch),reastream.vst.dylib
,784,,ReaSurround (Cockos),reasurround.vst.dylib
,785,,ReaSurroundPan (Cockos),reasurround2.vst.dylib
,786,Instr.,ReaSynDr (Cockos) (4 out)!!!VSTi,reasyndr.vst.dylib
,787,Instr.,ReaSynth (Cockos)!!!VSTi,reasynth.vst.dylib
,788,,ReaTune (Cockos),reatune.vst.dylib
,789,,ReaVerb (Cockos),reaverb.vst.dylib
,790,,ReaVerbate (Cockos),reaverbate.vst.dylib
,791,,ReaVocode (Cockos),reavocode.vst.dylib
,792,,ReaVoice (Cockos),reavoice.vst.dylib
,793,,ReaXcomp (Cockos),reaxcomp.vst.dylib
,794,,Relay (iZotope /  Inc.),Relay.vst
,795,,Relay (iZotope /  Inc.),Relay.vst3
,796,Instr.,Riffer (Audiomodern)!!!VSTi,Riffer_Trial.vst
,797,Instr.,Riffer (Audiomodern)!!!VSTi,Riffer_Trial.vst3
,798,,RondoReturn (Dysonics),RondoReturn.vst
,799,,RondoReturn (Dysonics),RondoReturn.vst3
,800,,RondoSend (Dysonics),RondoSend.vst
,801,,RondoSend (Dysonics),RondoSend.vst3
,802,,RoomEncoder (IEM) (64ch),RoomEncoder.vst
,803,,RX 6 Connect (iZotope /  Inc.),RX_6_Connect.vst
,804,,RX 6 Connect (iZotope /  Inc.),RX_6_Connect.vst3
,805,,RX 6 De-click (iZotope /  Inc.),RX_6_De_click.vst
,806,,RX 6 De-click (iZotope /  Inc.),RX_6_De_click.vst3
,807,,RX 6 De-clip (iZotope /  Inc.),RX_6_De_clip.vst
,808,,RX 6 De-clip (iZotope /  Inc.),RX_6_De_clip.vst3
,809,,RX 6 De-crackle (iZotope /  Inc.),RX_6_De_crackle.vst
,810,,RX 6 De-crackle (iZotope /  Inc.),RX_6_De_crackle.vst3
,811,,RX 6 De-ess (iZotope /  Inc.),RX_6_De_ess.vst
,812,,RX 6 De-ess (iZotope /  Inc.),RX_6_De_ess.vst3
,813,,RX 6 De-hum (iZotope /  Inc.),RX_6_De_hum.vst
,814,,RX 6 De-hum (iZotope /  Inc.),RX_6_De_hum.vst3
,815,,RX 6 De-plosive (iZotope /  Inc.),RX_6_De_plosive.vst
,816,,RX 6 De-plosive (iZotope /  Inc.),RX_6_De_plosive.vst3
,817,,RX 6 De-reverb (iZotope /  Inc.),RX_6_De_reverb.vst
,818,,RX 6 De-reverb (iZotope /  Inc.),RX_6_De_reverb.vst3
,819,,RX 6 Monitor (iZotope /  Inc.),RX_6_Monitor.vst
,820,,RX 6 Monitor (iZotope /  Inc.),RX_6_Monitor.vst3
,821,,RX 6 Mouth De-click (iZotope /  Inc.),RX_6_Mouth_De_click.vst
,822,,RX 6 Mouth De-click (iZotope /  Inc.),RX_6_Mouth_De_click.vst3
,823,,RX 6 Spectral De-noise (iZotope /  Inc.),RX_6_Spectral_De_noise.vst
,824,,RX 6 Spectral De-noise (iZotope /  Inc.),RX_6_Spectral_De_noise.vst3
,825,,RX 6 Voice De-noise (iZotope /  Inc.),RX_6_Voice_De_noise.vst
,826,,RX 6 Voice De-noise (iZotope /  Inc.),RX_6_Voice_De_noise.vst3
,827,,RX 7 Breath Control (iZotope /  Inc.),RX_7_Breath_Control.vst
,828,,RX 7 Breath Control (iZotope /  Inc.),RX_7_Breath_Control.vst3
,829,,RX 7 Connect (iZotope /  Inc.),RX_7_Connect.vst
,830,,RX 7 Connect (iZotope /  Inc.),RX_7_Connect.vst3
,831,,RX 7 De-click (iZotope /  Inc.),RX_7_De_click.vst
,832,,RX 7 De-click (iZotope /  Inc.),RX_7_De_click.vst3
,833,,RX 7 De-clip (iZotope /  Inc.),RX_7_De_clip.vst
,834,,RX 7 De-clip (iZotope /  Inc.),RX_7_De_clip.vst3
,835,,RX 7 De-crackle (iZotope /  Inc.),RX_7_De_crackle.vst
,836,,RX 7 De-crackle (iZotope /  Inc.),RX_7_De_crackle.vst3
,837,,RX 7 De-ess (iZotope /  Inc.),RX_7_De_ess.vst
,838,,RX 7 De-ess (iZotope /  Inc.),RX_7_De_ess.vst3
,839,,RX 7 De-hum (iZotope /  Inc.),RX_7_De_hum.vst
,840,,RX 7 De-hum (iZotope /  Inc.),RX_7_De_hum.vst3
,841,,RX 7 De-plosive (iZotope /  Inc.),RX_7_De_plosive.vst
,842,,RX 7 De-plosive (iZotope /  Inc.),RX_7_De_plosive.vst3
,843,,RX 7 De-reverb (iZotope /  Inc.),RX_7_De_reverb.vst
,844,,RX 7 De-reverb (iZotope /  Inc.),RX_7_De_reverb.vst3
,845,,RX 7 Monitor (iZotope /  Inc.),RX_7_Monitor.vst
,846,,RX 7 Monitor (iZotope /  Inc.),RX_7_Monitor.vst3
,847,,RX 7 Mouth De-click (iZotope /  Inc.),RX_7_Mouth_De_click.vst
,848,,RX 7 Mouth De-click (iZotope /  Inc.),RX_7_Mouth_De_click.vst3
,849,,RX 7 Spectral De-noise (iZotope /  Inc.),RX_7_Spectral_De_noise.vst
,850,,RX 7 Spectral De-noise (iZotope /  Inc.),RX_7_Spectral_De_noise.vst3
,851,,RX 7 Voice De-noise (iZotope /  Inc.),RX_7_Voice_De_noise.vst
,852,,RX 7 Voice De-noise (iZotope /  Inc.),RX_7_Voice_De_noise.vst3
,853,,SceneRotator (IEM) (64ch),SceneRotator.vst
,854,,AMBEO A-B Format Converter (Sennheiser) (4ch),Sennheiser_AMBEO_A_B_format_converter.vst
,855,,AMBEO A-B Format Converter (Sennheiser) (4ch),Sennheiser_AMBEO_A_B_format_converter.vst3
,856,,AMBEO Orbit (Sennheiser),Sennheiser_AMBEO_Orbit.vst
,857,,AMBEO Orbit (Sennheiser),Sennheiser_AMBEO_Orbit.vst3
,858,,MKH800 Twin Pattern (Sennheiser) (mono),SennheiserMKH800TWIN.vst
,859,,MKH800 Twin Pattern (Sennheiser) (mono),SennheiserMKH800TWIN.vst3
,860,Instr.,Serum (Xfer Records)!!!VSTi,Serum.vst
,861,,SerumFX (Xfer Records),SerumFX.vst
,862,,SessionStreamer (SoundStuff),SessionStreamer_Plugin.vst3
,863,Instr.,sforzando (Plogue Art et Technologie /  Inc)!!!VSTi,sforzando.vst
,864,Instr.,sforzando (Plogue Art et Technologie /  Inc)!!!VSTi,sforzando.vst3
,865,,SH Mix Masher (x86) (Ambisonic Studio SH) (6ch),SH_Mix_Masher.vst
,866,,SH Signal Router (x86) (Ambisonic Studio SH) (6ch),SH_Signal_Router.vst
,867,,Sie-Q (SoundToys),SieQ.vst
,868,,SimpleDecoder (IEM) (64ch),SimpleDecoder.vst
,869,,SIR2 (Knufinke),SIR2.vst
,870,,SIR3 (SIR Audio Tools),SIR3.vst
,871,,SIR3 (SIR Audio Tools),SIR3.vst3
,872,Instr.,Siren (Noise Makers)!!!VSTi,Siren.vst
,873,,Snap Heap (kiloHearts),Snap_Heap.vst
,874,,Snapshot (Non-Lethal Applications),Snapshot.vst
,875,,Snapshot (Non-Lethal Applications),Snapshot.vst3
,876,,Solid Bus Comp (Native Instruments GmbH),Solid_Bus_Comp.vst
,877,,Solid Bus Comp (Native Instruments),Solid_Bus_Comp.vst3
,878,,Solid Dynamics (Native Instruments GmbH),Solid_Dynamics.vst
,879,,Solid EQ (Native Instruments GmbH),Solid_EQ.vst
,880,,Solo2B (x86) (Ambisonic Studio B2X) (4ch),Solo2B.vst
,881,,Solo2B2 (x86) (Ambisonic Studio B2X) (9ch),Solo2B2.vst
,882,,Solo2B5 (x86) (Ambisonic Studio B2X) (12ch),Solo2B5.vst
,883,,audiounit (Ambisonic Studio) (4ch),Solo2B_alpha.vst
,884,,Sonarworks Reference 3 plug-in (Sonarworks),Sonarworks_Reference_3_plugin.vst
,885,,Sonarworks Reference 4 (Sonarworks),Sonarworks_Reference_4_Plugin.vst
,886,,Sonarworks Reference 4 (x86) (Sonarworks),Sonarworks_Reference_4_Plugin_x86_.vst
,887,,SonoBus (Sonosaurus),SonoBus.vst
,888,,SonoBus (Sonosaurus) (2->20ch),SonoBus.vst3
,889,,SoundField By RODE (RODE) (8->12ch),SoundField_By_RODE.vst
,890,,sparta_ambiDEC_o1 (AALTO) (4->64ch),sparta_ambiDEC_o1.vst
,891,,sparta_ambiDEC_o3 (AALTO) (16->64ch),sparta_ambiDEC_o3.vst
,892,,sparta_ambiDEC_o5 (AALTO) (36->64ch),sparta_ambiDEC_o5.vst
,893,,sparta_ambiDEC_o7 (AALTO) (64ch),sparta_ambiDEC_o7.vst
,894,,sparta_ambiDRC (AALTO) (64ch),sparta_ambiDRC.vst
,895,,sparta_ambiENC (AALTO) (64ch),sparta_ambiENC.vst
,896,,sparta_array2sh_o1 (AALTO) (64->4ch),sparta_array2sh_o1.vst
,897,,sparta_array2sh_o2 (AALTO) (64->9ch),sparta_array2sh_o2.vst
,898,,sparta_array2sh_o3 (AALTO) (64->16ch),sparta_array2sh_o3.vst
,899,,sparta_array2sh_o4 (AALTO) (64->25ch),sparta_array2sh_o4.vst
,900,,sparta_array2sh_o5 (AALTO) (64->36ch),sparta_array2sh_o5.vst
,901,,sparta_array2sh_o6 (AALTO) (64->49ch),sparta_array2sh_o6.vst
,902,,sparta_array2sh_o7 (AALTO) (64ch),sparta_array2sh_o7.vst
,903,,sparta_binauraliser (AALTO),sparta_binauraliser.vst
,904,,sparta_panner (AALTO) (64ch),sparta_panner.vst
,905,,sparta_powermap_o1 (AALTO),sparta_powermap_o1.vst
,906,,sparta_powermap_o3 (AALTO),sparta_powermap_o3.vst
,907,,sparta_powermap_o5 (AALTO),sparta_powermap_o5.vst
,908,,sparta_powermap_o7 (AALTO),sparta_powermap_o7.vst
,909,,sparta_rotator (AALTO) (64ch),sparta_rotator.vst
,910,,sparta_sldoa_o1 (AALTO),sparta_sldoa_o1.vst
,911,,sparta_sldoa_o3 (AALTO),sparta_sldoa_o3.vst
,912,,sparta_sldoa_o5 (AALTO),sparta_sldoa_o5.vst
,913,,sparta_sldoa_o7 (AALTO),sparta_sldoa_o7.vst
,914,,Spatifier (Voxengo),Spatifier.vst
,915,,Spatifier (Voxengo),Spatifier.vst3
,916,,Spat Revolution - Return (FLUX SE - IRCAM) (64ch),SpatRevolution_Return_x64.vst
,917,,Spat Revolution - Room (FLUX SE - IRCAM) (64ch),SpatRevolution_Room_x64.vst
,918,,Spat Revolution - Send (FLUX SE - IRCAM) (64ch),SpatRevolution_Send_x64.vst
,919,,IRCAM Tools - Spat v3 (Flux:: - IRCAM) (16->8ch),SpatV3_x64.vst
,920,,IRCAM Tools - Spat v3 (x86) (Flux:: - IRCAM) (16->8ch),SpatV3_x86.vst
,921,,SplineEQ (Photosounder),SplineEQ.vst
,922,,Stereo2B (x86) (Ambisonic Studio B2X) (4ch),Stereo2B.vst
,923,,Stereo2B5 (x86) (Ambisonic Studio B2X) (12ch),Stereo2B5.vst
,924,,Stereo Convo (x86) (Ambisonic Studio),Stereo_Convo.vst
,925,,StereoEncoder (IEM) (64ch),StereoEncoder.vst
,926,,StereoTool v3 (FLUX SE),StereoToolV3_x64.vst
,927,,StereoTool v3 (x86) (Flux:: sound and picture development),StereoToolV3_x86.vst
,928,,studiomux effect (zerodebug),studiomux_effect.vst
,929,Instr.,studiomux generator (zerodebug)!!!VSTi,studiomux_generator.vst
,930,,Supercharger (Native Instruments GmbH),Supercharger.vst
,931,,SurferEQ (Sound Radix),SurferEQ.vst
,932,,SurferEQ (Sound Radix),SurferEQ.vst3
,933,,SurroundZone2 (SoundField Limited) (8ch),SurroundZone2.vst
,934,,Tetra2B (x86) (Ambisonic Studio B2X) (4ch),Tetra2B.vst
,935,,audiounit (Ambisonic Studio) (4ch),Tetra2B_alpha.vst
,936,,<SHELL>,TOACore.vst
,937,,TOA Panner - Classic (Blue Ripple Sound Limited),TOACore.vst<1131311188
,938,,TOA Visualiser - Hemisphere (Blue Ripple Sound Limited),TOACore.vst<1214871124
,939,,TOA Panner - Hemisphere (Blue Ripple Sound Limited),TOACore.vst<1215197268
,940,,TOA Decoder - Stereo (Blue Ripple Sound Limited),TOACore.vst<1347642452
,941,,TOA Decoder - To YouTube (Blue Ripple Sound Limited),TOACore.vst<1415144532
,942,,TOA Injector - From YouTube (Blue Ripple Sound Limited),TOACore.vst<1415148884
,943,,TOA Beamer (Blue Ripple Sound Limited),TOACore.vst<1634034260
,944,,TOA Decoder - 5.1 Basic (Blue Ripple Sound Limited),TOACore.vst<1647666260
,945,,TOA Meter - Signal (Blue Ripple Sound Limited),TOACore.vst<1766616404
,946,,TOA Gain (Blue Ripple Sound Limited),TOACore.vst<1767991124
,947,,TOA Virtual Microphone (Blue Ripple Sound Limited),TOACore.vst<1800238676
,948,,TOA Panner (Blue Ripple Sound Limited),TOACore.vst<1851879508
,949,,TOA Panner - Eight Channel (Blue Ripple Sound Limited),TOACore.vst<1852848212
,950,,TOA Decoder - Mono (Blue Ripple Sound Limited),TOACore.vst<1867342932
,951,,TOA Look (Blue Ripple Sound Limited),TOACore.vst<1885432370
,952,,TOA Visualiser (Blue Ripple Sound Limited),TOACore.vst<1936291412
,953,,TOA Meter (Blue Ripple Sound Limited),TOACore.vst<1952804180
,954,,TOA Rotation (Blue Ripple Sound Limited),TOACore.vst<1953460820
,955,,TOA Colourizer (Blue Ripple Sound Limited),TOACore.vst<845772372
,956,,TOA Panner - Two Channel (Blue Ripple Sound Limited),TOACore.vst<846098516
,957,,Tonal Balance Control (iZotope /  Inc.),Tonal_Balance_Control.vst
,958,,Tonal Balance Control (iZotope /  Inc.),Tonal_Balance_Control.vst3
,959,,Tonal Balance Control 2 (iZotope /  Inc.),Tonal_Balance_Control_2.vst
,960,,Tonal Balance Control 2 (iZotope /  Inc.),Tonal_Balance_Control_2.vst3
,961,,ToolBox (IEM) (64ch),ToolBox.vst
,962,,ToscA (Ircam-Centre Pompidou),ToscA.vst
,963,,ToscA (Ircam-Centre Pompidou) (mono),ToscA.vst3
,964,,TrackSpacer (Wavesfactory),TrackSpacer.vst
,965,,Trackspacer (Wavesfactory),TrackSpacer.vst3
,966,,Transient Master (Native Instruments GmbH),Transient_Master.vst
,967,,Transient Master (Native Instruments),Transient_Master.vst3
,968,,IRCAM Tools - T.R.A.X. CS v3 (FLUX SE - IRCAM),TraxCsV3_x64.vst
,969,,IRCAM Tools - T.R.A.X. CS v3 (x86) (Flux:: - IRCAM),TraxCsV3_x86.vst
,970,,IRCAM Tools - T.R.A.X. SF v3 (FLUX SE - IRCAM),TraxSfV3_x64.vst
,971,,IRCAM Tools - T.R.A.X. SF v3 (x86) (Flux:: - IRCAM),TraxSfV3_x86.vst
,972,,IRCAM Tools - T.R.A.X. Tr. v3 (FLUX SE - IRCAM) (8ch),TraxV3_x64.vst
,973,,IRCAM Tools - T.R.A.X. Tr. v3 (x86) (Flux:: - IRCAM) (8ch),TraxV3_x86.vst
,974,,Tremolator (SoundToys),Tremolator.vst
,975,Instr.,Trilian (Spectrasonics) (16 out)!!!VSTi,Trilian.vst
,976,,UAD 4K Buss Compressor (Universal Audio /  Inc.),UAD_4K_Buss_Compressor.vst
,977,,UAD 4K Buss Compressor (Universal Audio /  Inc.) (mono),UAD_4K_Buss_Compressor_m_.vst
,978,,UAD 4K Channel Strip (Universal Audio /  Inc.),UAD_4K_Channel_Strip.vst
,979,,UAD 4K Channel Strip (Universal Audio /  Inc.) (mono),UAD_4K_Channel_Strip_m_.vst
,980,,UAD ADA STD-1 Stereo Tapped Dela (Universal Audio /  Inc.),UAD_ADA_STD_1_Stereo_Tapped_Delay.vst
,981,,UAD ADA STD-1 Stereo Tapped Dela (Universal Audio /  Inc.) (mono),UAD_ADA_STD_1_Stereo_Tapped_Delay_m_.vst
,982,,UAD AKG BX 20 (Universal Audio /  Inc.),UAD_AKG_BX_20.vst
,983,,UAD AKG BX 20 (Universal Audio /  Inc.) (mono),UAD_AKG_BX_20_m_.vst
,984,,UAD Ampeg B15N (Universal Audio /  Inc.),UAD_Ampeg_B15N.vst
,985,,UAD Ampeg B15N (Universal Audio /  Inc.) (mono),UAD_Ampeg_B15N_m_.vst
,986,,UAD Ampeg SVT3Pro (Universal Audio /  Inc.),UAD_Ampeg_SVT3Pro.vst
,987,,UAD Ampeg SVT3Pro (Universal Audio /  Inc.) (mono),UAD_Ampeg_SVT3Pro_m_.vst
,988,,UAD Ampeg SVTVR (Universal Audio /  Inc.),UAD_Ampeg_SVTVR.vst
,989,,UAD Ampeg SVTVR (Universal Audio /  Inc.) (mono),UAD_Ampeg_SVTVR_m_.vst
,990,,UAD Ampex ATR-102 (Universal Audio /  Inc.),UAD_Ampex_ATR_102.vst
,991,,UAD Ampex ATR-102 (Universal Audio /  Inc.) (mono),UAD_Ampex_ATR_102_m_.vst
,992,,UAD AMS RMX16 (Universal Audio /  Inc.),UAD_AMS_RMX16.vst
,993,,UAD AMS RMX16 Expanded (Universal Audio /  Inc.),UAD_AMS_RMX16_Expanded.vst
,994,,UAD AMS RMX16 Expanded (Universal Audio /  Inc.) (mono),UAD_AMS_RMX16_Expanded_m_.vst
,995,,UAD AMS RMX16 (Universal Audio /  Inc.) (mono),UAD_AMS_RMX16_m_.vst
,996,,UAD Antares Auto-Tune Realtime (Universal Audio /  Inc.),UAD_Antares_Auto_Tune_Realtime.vst
,997,,UAD Antares Auto-Tune Realtime (Universal Audio /  Inc.) (mono),UAD_Antares_Auto_Tune_Realtime_m_.vst
,998,,UAD API 2500 (Universal Audio /  Inc.),UAD_API_2500.vst
,999,,UAD API 2500 (Universal Audio /  Inc.) (mono),UAD_API_2500_m_.vst
,1000,,UAD API 550A (Universal Audio /  Inc.),UAD_API_550A.vst
,1001,,UAD API 550A (Universal Audio /  Inc.) (mono),UAD_API_550A_m_.vst
,1002,,UAD API 560 (Universal Audio /  Inc.),UAD_API_560.vst
,1003,,UAD API 560 (Universal Audio /  Inc.) (mono),UAD_API_560_m_.vst
,1004,,UAD API Vision Channel Strip (Universal Audio /  Inc.),UAD_API_Vision_Channel_Strip.vst
,1005,,UAD API Vision Channel Strip (Universal Audio /  Inc.) (mono),UAD_API_Vision_Channel_Strip_m_.vst
,1006,,UAD Bermuda Triangle (Universal Audio /  Inc.),UAD_Bermuda_Triangle.vst
,1007,,UAD Bermuda Triangle (Universal Audio /  Inc.) (mono),UAD_Bermuda_Triangle_m_.vst
,1008,,UAD Brigade Chorus (Universal Audio /  Inc.),UAD_Brigade_Chorus.vst
,1009,,UAD Brigade Chorus (Universal Audio /  Inc.) (mono),UAD_Brigade_Chorus_m_.vst
,1010,,UAD bx_digital V2 (Universal Audio /  Inc.),UAD_bx_digital_V2.vst
,1011,,UAD bx_digital V2 Mono (Universal Audio /  Inc.),UAD_bx_digital_V2_Mono.vst
,1012,,UAD bx_digital V2 Mono (Universal Audio /  Inc.),UAD_bx_digital_V2_Mono_m_.vst
,1013,,UAD bx_digital V3 (Universal Audio /  Inc.),UAD_bx_digital_V3.vst
,1014,,UAD bx_digital V3 mix (Universal Audio /  Inc.),UAD_bx_digital_V3_mix.vst
,1015,,UAD bx_digital V3 mix (Universal Audio /  Inc.) (mono),UAD_bx_digital_V3_mix_m_.vst
,1016,,UAD bx_refinement (Universal Audio /  Inc.),UAD_bx_refinement.vst
,1017,,UAD bx_refinement (Universal Audio /  Inc.) (mono),UAD_bx_refinement_m_.vst
,1018,,UAD bx_saturator V2 (Universal Audio /  Inc.),UAD_bx_saturator_V2.vst
,1019,,UAD bx_saturator V2 (Universal Audio /  Inc.) (mono),UAD_bx_saturator_V2_m_.vst
,1020,,UAD bx_subsynth (Universal Audio /  Inc.),UAD_bx_subsynth.vst
,1021,,UAD bx_subsynth (Universal Audio /  Inc.) (mono),UAD_bx_subsynth_m_.vst
,1022,,UAD bx_tuner (Universal Audio /  Inc.),UAD_bx_tuner.vst
,1023,,UAD bx_tuner (Universal Audio /  Inc.) (mono),UAD_bx_tuner_m_.vst
,1024,,UAD Cambridge (Universal Audio /  Inc.),UAD_Cambridge.vst
,1025,,UAD Cambridge (Universal Audio /  Inc.) (mono),UAD_Cambridge_m_.vst
,1026,,UAD Chandler GAV19T (Universal Audio /  Inc.),UAD_Chandler_GAV19T.vst
